泪,0
嘻嘻,1
都,2
爱,3
抓狂,4
鼓掌,5
不,6
…,7
好,8
回复,9
怒,10
去,11
人,12
衰,13
还,14
晕,15
说,16
吃,17
太,18
偷笑,19
很,20
看,21
!,22
小,23
微博,24
没,25
想,26
上,27
http,28
cn,29
t,30
北京,31
开心,32
可爱,33
今天,34
大家,35
大,36
会,37
没有,38
做,39
心,40
不是,41
中国,42
转发,43
最,44
现在,45
中,46
再,47
喜欢,48
知道,49
汗,50
真,51
赞,52
谢谢,53
才,54
月,55
真的,56
蜡烛,57
＂,58
朋友,59
里,60
下,61
看到,62
给力,63
已经,64
请,65
一起,66
走,67
酒店,68
更,69
旅游,70
美食,71
馋嘴,72
威武,73
老,74
good,75
围观,76
一下,77
哈哈哈,78
老师,79
年,80
后,81
快,82
买,83
一定,84
不能,85
呵呵,86
不要,87
孩子,88
吃惊,89
―,90
亲亲,91
2,92
花心,93
转,94
觉得,95
起来,96
点,97
时间,98
失望,99
感谢,100
悲伤,101
生活,102
酷,103
带,104
希望,105
支持,106
真是,107
拍,108
幸福,109
新,110
找,111
1,112
上海,113
出来,114
终于,115
明天,116
世界,117
不错,118
欢迎,119
可怜,120
快乐,121
死,122
这是,123
期待,124
活动,125
发现,126
不会,127
感觉,128
日,129
笑,130
应该,131
3,132
只,133
完,134
最后,135
必须,136
看看,137
儿,138
时,139
关注,140
妈妈,141
一天,142
抱抱,143
家,144
伤心,145
挖,146
天,147
一次,148
怒骂,149
晚上,150
以后,151
同学,152
好吃,153
旅行,154
事,155
话,156
鼻屎,157
回来,158
5,159
亲,160
照片,161
小时,162
喝,163
回家,164
很多,165
蛋糕,166
钱,167
耶,168
滴,169
继续,170
手机,171
V,172
这种,173
感动,174
地方,175
准备,176
餐厅,177
听,178
送,179
问题,180
号,181
出,182
其实,183
今晚,184
居然,185
求,186
工作,187
前,188
加油,189
恭喜,190
美,191
咖啡,192
4,193
猫,194
思考,195
有点,196
玩,197
10,198
分享,199
东西,200
最近,201
推荐,202
原来,203
需要,204
是不是,205
非常,206
害羞,207
我要,208
周末,209
每天,210
哭,211
写,212
特别,213
网,214
超级,215
睡,216
菜,217
官方,218
兔子,219
问,220
店,221
话筒,222
7,223
两个,224
张,225
8,226
元,227
昨天,228
委屈,229
电影,230
睡觉,231
已,232
却,233
王,234
懂,235
穿,236
只能,237
牛,238
逼,239
记得,240
高,241
公司,242
味道,243
看来,244
礼物,245
人生,246
美女,247
男人,248
机会,249
开,250
鄙视,251
女人,252
下次,253
见,254
童鞋,255
新浪,256
生病,257
摄影,258
刚,259
有人,260
6,261
哥,262
木有,263
吃货,264
妈,265
节目,266
可能,267
演员,268
赶紧,269
太阳,270
心情,271
行,272
回,273
无,274
帮,275
真心,276
下午,277
祝,278
好好,279
所有,280
飞机,281
努力,282
挺,283
女,284
花,285
微,286
美丽,287
喵,288
突然,289
先生,290
先,291
成,292
全球,293
参加,294
总,295
告诉,296
不到,297
坐,298
直接,299
亲们,300
2012,301
李,302
爱心,303
肉,304
吃饭,305
现场,306
相声,307
看着,308
今年,309
可惜,310
早,311
