泪,0
嘻嘻,1
都,2
抓狂,3
爱,4
鼓掌,5
不,6
…,7
好,8
回复,9
怒,10
去,11
人,12
衰,13
说,14
晕,15
还,16
吃,17
太,18
偷笑,19
很,20
看,21
!,22
小,23
微博,24
没,25
想,26
北京,27
上,28
http,29
cn,30
t,31
大家,32
可爱,33
今天,34
开心,35
会,36
大,37
没有,38
做,39
心,40
不是,41
中国,42
最,43
现在,44
转发,45
再,46
中,47
喜欢,48
知道,49
汗,50
蜡烛,51
谢谢,52
月,53
赞,54
才,55
真,56
一起,57
真的,58
＂,59
更,60
走,61
请,62
已经,63
看到,64
酒店,65
给力,66
老,67
朋友,68
威武,69
馋嘴,70
里,71
美食,72
下,73
不能,74
旅游,75
年,76
一下,77
快,78
good,79
后,80
围观,81
―,82
哈哈哈,83
不要,84
亲亲,85
一定,86
呵呵,87
老师,88
觉得,89
买,90
孩子,91
吃惊,92
2,93
生活,94
花心,95
转,96
明天,97
世界,98
希望,99
起来,100
1,101
幸福,102
悲伤,103
时间,104
点,105
出来,106
酷,107
终于,108
带,109
新,110
上海,111
可怜,112
这是,113
感谢,114
失望,115
找,116
感觉,117
支持,118
快乐,119
怒骂,120
儿,121
欢迎,122
死,123
真是,124
拍,125
不错,126
活动,127
不会,128
期待,129
只,130
笑,131
发现,132
3,133
最后,134
一天,135
抱抱,136
日,137
蛋糕,138
关注,139
天,140
完,141
应该,142
很多,143
晚上,144
伤心,145
一次,146
挖,147
时,148
必须,149
看看,150
妈妈,151
继续,152
家,153
好吃,154
回来,155
同学,156
鼻屎,157
话,158
以后,159
小时,160
求,161
滴,162
号,163
事,164
旅行,165
喝,166
5,167
感动,168
耶,169
出,170
餐厅,171
亲,172
准备,173
猫,174
地方,175
问题,176
恭喜,177
4,178
回家,179
居然,180
照片,181
思考,182
今晚,183
10,184
工作,185
这种,186
加油,187
其实,188
手机,189
美,190
送,191
有点,192
V,193
官方,194
最近,195
我要,196
是不是,197
菜,198
委屈,199
听,200
前,201
害羞,202
钱,203
睡,204
非常,205
推荐,206
问,207
礼物,208
特别,209
咖啡,210
两个,211
网,212
睡觉,213
需要,214
玩,215
兔子,216
却,217
原来,218
写,219
东西,220
记得,221
分享,222
鄙视,223
电影,224
公司,225
周末,226
7,227
女人,228
8,229
牛,230
人生,231
男人,232
懂,233
张,234
回,235
哭,236
心情,237
已,238
童鞋,239
6,240
每天,241
话筒,242
木有,243
高,244
超级,245
看来,246
王,247
先生,248
机会,249
开,250
元,251
飞机,252
昨天,253
只能,254
美女,255
穿,256
下次,257
刚,258
吃货,259
赶紧,260
突然,261
生病,262
店,263
好好,264
告诉,265
挺,266
可能,267
无,268
妈,269
逼,270
2012,271
新浪,272
行,273
有人,274
味道,275
李,276
见,277
美丽,278
摄影,279
直接,280
今年,281
饿,282
真心,283
节目,284
男,285
可惜,286
姐姐,287
跑,288
好像,289
祝,290
参加,291
太阳,292
香港,293
帮,294
下午,295
发,296
坐,297
所有,298
不到,299
厦门,300
微,301
疯,302
9,303
成,304
国际,305
路上,306
小伙伴,307
喵,308
哥,309
全球,310
祝福,311
